y_start,y_end,x_start,x_end,highway,oneway,edge_index
-117.7081161,-117.708128,34.1029855,34.1026667,service,False,90
-117.708128,-117.7081306,34.1026667,34.1025613,service,False,90
-117.7081161,-117.7082213,34.1029855,34.1029782,path,False,91
-117.7082213,-117.7083297,34.1029782,34.1029782,path,False,91
-117.7083297,-117.7084878,34.1029782,34.1029744,path,False,91
-117.7084878,-117.708682,34.1029744,34.1029782,path,False,91
-117.708682,-117.7089395,34.1029782,34.1029669,path,False,91
-117.7089395,-117.7090886,34.1029669,34.1029632,path,False,91
-117.7090886,-117.709206,34.1029632,34.1029669,path,False,91
-117.709206,-117.7092997,34.1029669,34.1029743,path,False,91
-117.7149326,-117.7149301,34.1027849,34.1033693,tertiary,False,92
-117.7149326,-117.7149333,34.1027849,34.1026197,tertiary,False,93
-117.7149326,-117.7148078,34.1027849,34.1027849,service,False,94
-117.7148078,-117.7147676,34.1027849,34.1027843,service,False,94
-117.7147676,-117.714722,34.1027843,34.1027693,service,False,94
-117.714722,-117.7146952,34.1027693,34.1027493,service,False,94
-117.7146952,-117.714675,34.1027493,34.1027105,service,False,94
-117.714675,-117.7146697,34.1027105,34.1026638,service,False,94
-117.7146697,-117.7146697,34.1026638,34.1026239,service,False,94
-117.7146697,-117.7146697,34.1026239,34.1025672,service,False,94
-117.7146697,-117.7146764,34.1025672,34.1025217,service,False,94
-117.7146764,-117.7147032,34.1025217,34.1024862,service,False,94
-117.7147032,-117.7147555,34.1024862,34.1024528,service,False,94
-117.7147555,-117.7148159,34.1024528,34.1024395,service,False,94
-117.7148159,-117.7149324,34.1024395,34.1024384,service,False,94
-117.7156776,-117.7164046,34.0976267,34.0976295,residential,False,95
-117.7156776,-117.7149214,34.0976267,34.0976219,residential,False,96
-117.7156776,-117.7156721,34.0976267,34.0966477,residential,False,97
-117.7131906,-117.7131915,34.1040766,34.104242,residential,False,98
-117.7131906,-117.7124088,34.1040766,34.1040854,service,True,99
-117.7124088,-117.7124115,34.1040854,34.104242,service,True,99
-117.7124115,-117.7131915,34.104242,34.104242,service,True,99
-117.7131906,-117.713187,34.1040766,34.1033603,residential,False,100
-117.7164046,-117.7156776,34.0976295,34.0976267,residential,False,101
-117.7164046,-117.716408,34.0976295,34.0984901,residential,False,102
-117.716408,-117.7165351,34.0984901,34.0986414,residential,False,102
